Ident,Name,Scenery_Local_Path,Continent,Country,State,Laty,Lonx
57OR,Upper Table Rock,uppertablerock,NA,US,Oregon,44.0630722,-120.067421
59OR,Willow Creek Spring,willowcreek,NA,US,Oregon,43.87158,-117.593422
62OR,Winema,winema,NA,US,Oregon,42.8662834,-121.001823
01WA,Adams Ranch,adamsranch,NA,US,Washington,47.8228569,-117.795059
05WA,Calhoun,calhoun,NA,US,Washington,47.8058434,-117.68557
06WA,Mccalhoun Ranch,calhoun,NA,US,Washington,47.80647,-117.663559
07WA,Corkscrew Ranch,corkscrew,NA,US,Washington,47.873497,-117.711693
08WA,Green Mountain,greenmountain,NA,US,Washington,47.8224564,-117.06987
09WA,Jensen,jensen,NA,US,Washington,46.91827,-122.316093
02WY,Burnt Fork Airstrip,burntfork,NA,US,Wyoming,41.1222458,-110.869766
05WY,Fort Washakie Airstrip,fortwashakie,NA,US,Wyoming,43.02636,-108.8999
ULNA,Valday Avia,newmoscowboy-valday,AS,RU,,57.95995,33.2361336
VASU,Surat International Airport,"fs-base, vasu",AS,IN,,21.1188374,72.7464
VCCC,Colombo Ratmalana Airport,"fs-base, vccc-ratmalana-airport-srilanka",AS,LK,Colombo,6.82077074,79.88678
VCCJ,Jaffna International Airport Sri Lanka,vccj-jaffna-airport,AS,LK,,9.790467,80.07101
VCCT,China Bay,"fs-base, vcct-airport-tricomalee-chinabay-sri-lanka",AS,LK,,8.537313,81.17902
EHLE,Lelysta Airport,"fs-base, vcf-ehle-runways",EU,NL,,52.45391,5.51373672
EHLE,Lelysta Airport,"fs-base, vcf-ehle-runways",EU,NL,,52.45391,5.51373672
VCRI,Matake Rajapaksa International Airport,"fs-base, vcri",AS,LK,,6.28459454,81.12771
EKVO,Vejroe Flyveplads,"fs-base, vejroe",EU,DK,,55.0266953,11.3512173
KFFA,Kittyhawk First-Flight,"fs-base, verticalsim-kittyhawk-first-flight",NA,US,North Carolina,36.0141945,-75.671936
VHHH,Hong Kong Intl,"fs-base, vhhh-scenery",AS,Hong Kong Sar,,22.316,113.9138
VOHS,Rajiv Gandhi International Airport,"fs-base, vohs",AS,IN,Telangana,17.2342529,78.4299545
EHVK,Vliegbasis Volkel,volkel,EU,NL,,51.6567,5.708198
EHVK,Vliegbasis Volkel,volkel,EU,NL,,51.6567,5.708198
SKNQ,Reyes Murillo,vpilotdesigns-airport-sknq,SA,CO,Chocó,5.710505,-77.26171
SKSG,Los Pozos,vpilotdesigns-sksg,SA,CO,,6.59076071,-73.12888
SDLY,Aeroporto Municipal Armando Natali,vref-sdlyscene,SA,BR,Sao Paulo,-21.6248245,-48.3503647
SSCF,Max Fontoura,"fs-base, vref-sscf",SA,BR,,-25.4263725,-49.5243454
VTBS,Suvarnabhumi Intl,fs-base,AS,TH,,13.6808414,100.747681
EPKQ,Karczew,warsawcity,EU,PL,,52.0803261,21.22719
EPKU,Konstancin,"fs-base, warsawcity",EU,PL,,52.0755043,21.1839485
EPNS,Chrcynno,"fs-base, warsawcity",EU,PL,,52.57476,20.86365
KBWI,Baltimore-Washington Intl,"fs-base, watsupsrinivasman-airport-kbwi-baltimore",NA,US,Maryland,39.17536,-76.668335
WIJJ,Sultan Thaha Syaifuddin Airport,wijj,AS,ID,,-1.63606167,103.64286
ENBR,Flesland,"fs-base, wombiiactual-airport-enbr-fleslandfix_1_0",EU,NO,,60.3001671,5.215073
ENZV,Sola,"fs-base, wombiiactual-airport-enzv-solafix",EU,NO,,58.8792343,5.62899876
YBF,Bamfield Aerodrome,ybf,NA,CA,British Columbia,48.820694,-125.1191
YCHB,Cherrabah,"fs-base, ychb",OC,AU,Qld,-28.4302731,152.089417
YKBN,Kooralbyn,"fs-base, ykbn",OC,AU,Queensland,-28.089077,152.846008
YMIG,Mittagong,"fs-base, ymigpack",OC,AU,,-34.45006,150.497757
YMMB,Moorabbin,fs-base,OC,AU,Victoria,-37.9775276,145.100113
YNAN,Nanango Airport,"fs-base, ynan",OC,AU,Queensland,-26.6904449,151.986588
CYBD,Bella Coola Airport,"fs-base, zep35-airport-cybd-bellacoola",NA,CA,British Columbia,52.3877449,-126.59552
ZGSZ,Baoan,"fs-base, zgsz",AS,CN,Guangdong,22.6392784,113.810638
EN68,Ballangen,ZX_EN68_Ballangen,EU,NO,,68.33621,16.83217
EDER,Wasserkuppe,"karlo-airport-eder-wasserkuppe, z_karlo-airport-eder-wasserkuppe",EU,DE,,50.4986534,9.95193
RPLP,Legazpi,fs-base,AS,PH,,13.1577063,123.735062
RJEO,Okushiri Airport,"fs-base, kui-rjeo",AS,JP,Hiyama Subprefecture,42.071785,139.43454
3424,Base Ulm Sauvian,ala34-airport-lf3424-serinian,EU,FR,,43.27259,3.25069571
EDIC,Bollrich Airfield,fs-base,EU,DE,,51.90566,10.4616194
CYSG,St Georges,fs-base,NA,CA,Quebec,46.0963135,-70.71464
KHAF,Half Moon Bay,fs-base,NA,US,CA,37.5134468,-122.50119
KRWI,Rocky Mount-Wilson Rgnl,fs-base,NA,US,NC,35.85622,-77.89193
FYWB,Walvis Bay,fs-base,AF,NA,,-22.9794216,14.6470947
FYWE,Eros,fs-base,AF,NA,,-22.60868,17.0792446
LERM,Robledillo De Mohernando,fs-base,EU,ES,,40.86547,-3.24733663
20M,Macon Mun,fs-base,NA,US,MS,33.1338158,-88.53601
CYQZ,Quesnel,fs-base,NA,CA,British Columbia,53.0260239,-122.510361
RPVC,Calbayog,fs-base,AS,PH,,12.0723085,124.545219
LECO,A Coruna,fs-base,EU,ES,,43.30081,-8.378276
LERS,Reus,fs-base,EU,ES,,41.14808,1.16949582
LIRN,Capodichino,fs-base,EU,IT,,40.8860245,14.2907782
EDOH,Langhennersdorf,fs-base,EU,DE,,50.9465981,13.2576237
BGGH,Nuuk,fs-base,NA,GL,,64.19306,-51.6759872
EBSP,Spa La Sauvegnere,"fs-base, maliraf-spa",EU,BE,,50.4807,5.91090631
EDTX,Schwaebisch Hall Weckrieden,nils-airport-edtx,EU,DE,Baden-Wuertemberg,49.1230965,9.781701
ETNT,Wittmundhafen,rbn-etnt01,EU,DE,,53.5479622,7.66857958
BGMQ,Maniitsoq,"fs-base, tlc-bgmq",NA,Greenland,,65.4112549,-52.93443
EBZW,Zwartberg,"fs-base, EBZW_MSFS2020",EU,BE,,51.01535,5.524189
RPUD,Daet Airport,"fs-base, kml921-airport-rpud-daet",AS,PH,,14.1271305,122.976608
LG02,Triodhon,"fs-base, lg02",EU,GR,Kalamata,37.0949249,21.9902878
LG54,Tympaki,"fs-base, lg54",EU,GR,Crete,35.06482,24.7602463
LG56,Olimboi,"fs-base, lg56",EU,GR,Chios,38.2364159,25.9385777
LGBL,Almiros,"fs-base, lgbl",EU,GR,Magnisia,39.21881,22.7932644
LGIO,King Pyrros,"fs-base, lgio",EU,GR,Ioannina,39.6976128,20.8216629
LGKY,Kalymnos,"fs-base, lgky",EU,GR,Dodekanisa,36.9633,26.94224
LGKZ,Filippos,"fs-base, lgkz",EU,GR,Macedonia,40.2790451,21.8432045
LGSY,Skyros,"fs-base, lgsy",EU,GR,Skyros,38.96909,24.4864521
LGTH,Thiva,"fs-base, lgth",EU,GR,,38.37598,23.25636
LGTP,Tripoli,"fs-base, lgtp",EU,GR,Arcadia,37.52769,22.40183
VLLT,Long Tieng Airbase,kychungdotcom-airport-vllt-longtieng,AS,LA,Xaisomboun,19.1066456,102.924744
EDYN,Ludwigshafen Dannstadt,"fs-base, ludwigshafen",EU,DE,,49.4089966,8.345498
UGOR,Volzhanka,"fs-base, newmoscowboy-tver",AS,RU,Tver,56.7791939,36.2825356
OIKK,Ayatollah Hashemi Rafsanjani Intl,oikk-airport,AS,IR,Kerman,30.2744446,56.95111
RPUB,Loakan Airport,"fs-base, ker0tin-rpub",AS,PH,Benguet,16.37503,120.6193
LIRF,Fiumicino,"fs-base, lirf-scenery",EU,IT,,41.8064156,12.25047
SBDN,Presidente Prudente,"fs-base, sbdn-brairports",SA,BR,Sao Paulo,-22.1752739,-51.42272
BGSS,Sisimiut,"fs-base, tlc-bgss",NA,GL,,66.951416,-53.72618
RPVD,Dumaguete,fs-base,AS,PH,,9.334173,123.302094
RPVK,Kalibo,fs-base,AS,PH,,11.680377,122.376556
LESO,San Sebastian,fs-base,EU,ES,,43.3564758,-1.79061592
EBKT,Kortrijk-Wevelgem,fs-base,EU,BE,,50.81879,3.2090404
LSZR,Altenrhein,fs-base,EU,CH,,47.4854622,9.561571
LOAG,Langenlois,fs-base,EU,AT,,48.44618,15.6349182
EXHB,"Goessenheim ","fs-base, chrispiaviation-goessenheim",EU,DE,Bavaria,50.0284843,9.770496
RPMS,Surigao Airport,"fs-base, kml921-airport-rpms-surigao-withstatic",AS,PH,,9.756037,125.481064
RPUH,San Jose Airport,"fs-base, kml921-airport-rpuh-sanjose",AS,PH,Mindoro,12.3609257,121.045677
LEPP,Pamplona,fs-base,EU,ES,,42.77008,-1.64635909
LEVT,Foronda,fs-base,EU,ES,,42.88287,-2.72445965
BGAA,Aasiaat,"fs-base, tlc-bgaa",NA,GL,,68.72146,-52.7889
BGUK,Upernavik,tlc-bguk,NA,Greenland,,72.7878,-56.131382
RPUS,San Fernando Airport,"fs-base, ker0xmrscenery-rpus",AS,PH,La Union,16.59819,120.305161
BGQQ,Qaanaaq,"fs-base, tlc-bgqq",NA,GL,,77.4877548,-69.38265
ESNI,Kubbe Flygbas,ESNI Kubbe flygbas,EU,SE,,63.63715,17.9315758
GVNP,Mandela Intl,"fs-base, navigraph-navdata",AF,CV,,14.9411116,-23.4847221
RPVJ,Masbate Airport,"fs-base, kml921-airport-rpvj-masbate, navigraph-navdata",AS,PH,,12.3694029,123.629807
LS20,Lima Site 20 - Sam Thong,scenery-ls20a-longtieng,AS,LA,Mr Ii,19.1835976,102.888138
LS20A,Lima Site 20 Alternate - Long Tieng,scenery-ls20a-longtieng,AS,LA,Mr Ii,19.1110077,102.921249
LS26,Lima Site 26 - Xieng Dat,scenery-ls20a-longtieng,AS,LA,Mr Ii,19.4213161,102.710464
VILH,Leh,"fs-base, airport-vilh-leh-mottoth, navigraph-navdata",AS,IN,Jammu and Kashmir,34.1366653,77.54667
FSPL,Platte,ape42-airport-fspl-platte,AF,SC,Platte,-5.863101,55.3844528
FSSB,Bird Island Airport,ape42-airport-fssb-birdisland,AF,SC,Bird Island,-3.724107,55.2055168
FSSD,Denis Island Airport,ape42-airport-fssd-denisisland,AF,SC,Denis Island,-3.8021152,55.66756
EBZH,Kiewit,"fs-base, EBZH_MSFS2020, navigraph-navdata",EU,BE,,50.97,5.375
EGGR,High Easter Airfield,fs-base,EU,GB,,51.8062172,0.3410022
EGOW,Woodvale AB,"fs-base, egow-woodvale, navigraph-navdata",EU,GB,,53.5815735,-3.05552769
EGZD,Blooms Farm Airstrip,fs-base,EU,GB,,51.9944077,0.5564319
EKRS,Ringsted,"fs-base, FSScene-EKRS, navigraph-navdata",EU,DK,Ringsted,55.4258537,11.8068218
TLPC,George Charles,"fs-base, navigraph-navdata, scenery-saint-lucia-tlpc",NA,LC,,14.0193081,-60.9959869
VIDP,Indira Gandhi International Airport,"fs-base, navigraph-navdata, vidpexp",AS,IN,,28.5531883,77.08191
EDWQ,Atlas Airfield,"fs-base, navigraph-navdata",EU,DE,,53.036,8.505167
BGBW,Narsarsuaq,navigraph-navdata,NA,GL,,61.16072,-45.4256744
EDBN,Neubrandenburg,"ape42-airport-edbn-trollenhagen, navigraph-navdata",EU,DE,Mecklenburg-Vorpommern,53.6022377,13.3060808
CYZF,Yellowknife Airport,"fs-base, cyzf, navigraph-navdata",NA,CA,Northwest Territories,62.46304,-114.4404
RPUO,Basco,"nardz-airport-rpuo-basco, navigraph-navdata",AS,PH,,20.4514523,121.980225
BGBW,Narsarsuaq,"navigraph-navdata, tlc-bgbw",NA,GL,,61.15844,-45.4276276
NTAM,Rimatara Airport,"navigraph-navdata, sileo-airport-ntam-rimatara",OC,PF,,-22.6372375,-152.806015
NTAV,Raivavae Airport,"navigraph-navdata, sileo-airport-ntav-raivavae",OC,PF,,-23.8853283,-147.662109
NTTP,Maupiti Airport,"navigraph-navdata, sileo-airport-nttp-maupiti",OC,PF,,-16.42648,-152.243637
LYVR,Vrsac,"fs-base, boba3d-lyvr, navigraph-navdata",EU,RS,Serbia,45.1477776,21.3097229
CZVL,Edmonton/Villeneuve,"fs-base, czvl, navigraph-navdata",NA,CA,Alberta,53.6682434,-113.852264
KSNA,John Wayne Airport-Orange County Airport,"fs-base, navigraph-navdata",NA,US,CA,33.6756668,-117.868225
UWLL,Barataevka,"fs-base, navigraph-navdata, virtavia-airport-uwll-barataevka",AS,RU,,54.2716675,48.2266655
LIDA,Asiago,"fs-base, bmw-asiago-lida, navigraph-navdata",EU,IT,,45.88778,11.5166664
EDOE,Boehlen,"fs-base, boehlenv1, navigraph-navdata",EU,DE,,51.215332,12.3678331
SDLP,Lencois Paulista,"fs-base, dcscenery-airport-sdlp, navigraph-navdata",SA,BR,,-22.5783329,-48.7744446
GQNO,Nouakchott Oumtounsy Intl,"fs-base, gqno-airport, navigraph-navdata",AF,MR,,18.3098888,-15.9696388
LF74M,Lf430 Saint-Roch Mayeres,md-airport-mayeres,EU,FR,,45.9491119,6.58711529
SBAR,Santa Maria,"fs-base, navigraph-navdata",SA,BR,,-10.9852781,-37.0733337
SBBE,Belem,"fs-base, navigraph-navdata, SBBE-Belem",SA,BR,,-1.38131821,-48.4782524
SBCB,Cabo Frio,"fs-base, navigraph-navdata, SBCB-Cabo Frio",SA,BR,,-22.92374,-42.078
SBCF,Confins,"fs-base, navigraph-navdata, SBCF-Confins",SA,BR,,-19.63182,-43.9699974
SBEG,Eduardo Gomes,"fs-base, navigraph-navdata, SBEG-Manaus",SA,BR,,-3.03857374,-60.0485153
SBFI,Foz Do Iguaçu,"fs-base, navigraph-navdata, SBFI-Foz do Iguacu",SA,BR,,-25.5963745,-54.4866142
SBFN,Fernando De Noronha,"fs-base, navigraph-navdata, SBFN-Fernando de Noronha",SA,BR,,-3.85426426,-32.4261475
SBPA,Salgado Filho,"fs-base, navigraph-navdata, SBPA-Porto Alegre",SA,BR,Rio Grande Do Sul,-29.9917736,-51.17698
SBPJ,Palmas,"fs-base, navigraph-navdata, SBPJ-Palmas",SA,BR,,-10.2933111,-48.3565063
SBPS,Porto Seguro,"fs-base, navigraph-navdata",SA,BR,,-16.438055,-39.08389
SBRF,Recife,"fs-base, navigraph-navdata, SBRF-Recife",SA,BR,,-8.127428,-34.92282
SBRJ,Santos Dumond,"fs-base, navigraph-navdata, SBRJ-Santos Dumond",SA,BR,,-22.9102383,-43.16283
SBSG,Gov Aluizio Alves Intl,"fs-base, navigraph-navdata",SA,BR,,-5.768889,-35.36639
SBVT,Vitoria,"fs-base, navigraph-navdata, SBVT-Vitoria",SA,BR,,-20.2558079,-40.27997
ENDU,Bardufoss AB,"fs-base, navigraph-navdata",EU,NO,,69.05583,18.5402775
LFJD,Corlier,"fs-base, navigraph-navdata",EU,FR,,46.04,5.4958334
GMME,Sale,"fs-base, navigraph-navdata",AF,MA,,34.0513878,-6.751667
RPSP,Captain Mateo Capinpin Airstrip,"fs-base, navigraph-navdata",AS,PH,,14.5357561,121.364594
LIFT,Obiettivo Volare Aeroclub,fs-base,EU,IT,,44.8895531,10.1604
SKMP,San Bernardo,"fs-base, navigraph-navdata",SA,CO,,9.257794,-74.43802
FSAL,Alphonse Island,ape42-airport-fsal-alphonse,AF,SC,Alphonse Island,-7.00427341,52.72611
FSAS,Assumption Airport,ape42-airport-fsas-assumption,AF,SC,Assumption Island,-9.742232,46.5066681
FSSA,Astove Island Airport,ape42-airport-fssa-astove,AF,SC,Astove Island,-10.0608,47.74916
RPSP1,Panglao Bohol Int'l Airport,ker0tin-rpsp,AS,PH,Bohol,9.572183,123.7702
EGUW,Wattisham Army,"fs-base, navigraph-navdata",EU,GB,,52.12703,0.955414057
EGFF,Cardiff,"fs-base, airport-egff-cardiff-superspud, navigraph-navdata",EU,GB,,51.3966675,-3.34333324
EPGY,Ostrówww Mazowiecka - Grady,"fs-base, epgy, navigraph-navdata",EU,PL,,52.8369446,21.7775
EPOM,Michalkow Areoklub,"fs-base, epom, navigraph-navdata",EU,PL,Wielkopolska,51.7025,17.8469448
LFBO,Blagnac,"fs-base, navigraph-navdata",EU,FR,,43.635,1.36777771
FSSC,Coëtivy Island Airport,ape42-airport-fssc-coetivy,AF,SC,Coëtivy Island,-7.132448,56.273098
EPMX,Milewo,"fs-base, epmx",EU,PL,,52.6692772,20.4281273
LFJA,Chaumont Semoutiers,"fs-base, fgapz-airport-lfja-semoutiers, navigraph-navdata",EU,FR,,48.09083,5.04888868
LFQX,Juvancourt,"fs-base, fgapz-airport-lfqx-juvancourt, navigraph-navdata",EU,FR,,48.1138878,4.81944466
LGAD,Andravida AB,"fs-base, LGAD, navigraph-navdata",EU,GR,Peloponnese,37.9252777,21.29139
LGEL,Elefsis AB,"fs-base, LGEL, navigraph-navdata",EU,GR,Attica,38.0695,23.5541668
LGHI,Omiros,"fs-base, LGHI, navigraph-navdata",EU,GR,Chios,38.3433342,26.1405563
LGKA,Aristotelis,"fs-base, LGKA, navigraph-navdata",EU,GR,Makedonia,40.44639,21.28111
LGKF,Kefallinia,"fs-base, LGKF, navigraph-navdata",EU,GR,Eptanisa,38.12,20.500555
LGKJ,Kastelorizo,"fs-base, LGKJ, navigraph-navdata",EU,GR,Dodekanese,36.1416664,29.57639
LGKL,Kalamata,"fs-base, lgkl, navigraph-navdata",EU,GR,Messinia,37.0683327,22.0252781
LGKM,Amigdhaleon,"fs-base, LGKM, navigraph-navdata",EU,GR,Kavala,40.9666672,24.35
LGKV,Megas Alexandros,"fs-base, LGKV, navigraph-navdata",EU,GR,Makedonia,40.913887,24.6197224
LGTT,Tatoi,"fs-base, LGTT, navigraph-navdata",EU,GR,Attica,38.1072235,23.7661114
LFGA,Colmar-Houssen,"fs-base, aeroport-houssen, navigraph-navdata",EU,FR,France,48.11028,7.35916662
CYXH,Medicine Hat,"fs-base, cyxh, navigraph-navdata",NA,CA,Alberta,50.0188942,-110.720627
EPNT,Lotnisko Nowy Targ,"fs-base, navigraph-navdata, piotrkol-epnt-nowytarg",EU,PL,,49.46535,20.048481
RJSD,Sado,"fs-base, kui-rjsd",AS,JP,Niigata Prefecture,38.0605125,138.414169
LLET,Eilat,"fs-base, llet",AS,IL,,29.5592556,34.9592819
SBGV,Aeroporto Coronel Altino Machado De Oliveira,"fs-base, geardownsimulations-sbgv, navigraph-navdata",SA,BR,Minas Gerais,-18.896944,-41.98611
RPMR,General Santos Int'l Airport,"fs-base, ker0xairwil-rpmr, navigraph-navdata",AS,PH,General Santos,6.058056,125.096115
LFON,Dreux,"fs-base, LFON Dreux Vernouillet, navigraph-navdata",EU,FR,Centre,48.7058334,1.36138868
LGAV,Eleftherios Venizelos Intl,"fs-base, navigraph-navdata",EU,GR,,37.9367,23.9445
EDBP,Pinnow,"fs-base, MV_EDBP_Schwerin-Pinnow, navigraph-navdata",EU,DE,Mecklenburg-Vorpommern,53.6151657,11.561
KNUQ,Moffett Federal AFLD,"fs-base, navigraph-navdata",NA,US,CA,37.41614,-122.049133
EDVS,Drutte,"fs-base, navigraph-navdata",EU,DE,,52.1541672,10.4265
URWI,Elista,"fs-base, navigraph-navdata, xflight-urwi",AS,RU,Republic of Kalmykia,46.37248,44.331192
EPKA,Kielce-Maslow Airport,"fs-base, epka, navigraph-navdata",EU,PL,,50.896946,20.7316666
UMKK,Khrabrovo,"fs-base, navigraph-navdata, xflight-umkk",AS,RU,,54.89427,20.608696
URMS,Magas Oskanov Airport,"fs-base, navigraph-navdata, xflight-urms",AS,RU,Republic of Ingushetia,43.3195229,45.0134239
ESGK,Falkoping,"fs-base, navigraph-navdata",EU,SE,,58.17,13.5877781
ESTF,Fjällbacka Anra Airport,"fs-base, navigraph-navdata",EU,SE,,58.63028,11.3036108
EBBL,Kleine-Brogel,navigraph-navdata,EU,BE,,51.168335,5.47000027
CYHA,Quaqtaq,navigraph-navdata,NA,CA,Quebec,61.04652,-69.61765
CYKO,Akulivik,navigraph-navdata,NA,CA,Quebec,60.81869,-78.1485748
RPVY,Catbalogan,fs-base,AS,PH,,11.81086,124.828629
PWAK,Wake Island Airfield,"fs-base, navigraph-navdata",NA,United States Minor Outlying Islands,,19.2824879,166.636658
WA09,Roche Harbor,"fs-base, navigraph-navdata",NA,US,WA,48.6123238,-123.138519
URRP,Platov International Airport,"fs-base, navigraph-navdata",AS,RU,,47.49389,39.92472
UKLN,Chernivtsi,"fs-base, navigraph-navdata",EU,UA,,48.2594452,25.98
UNNT,Tolmachevo,"fs-base, navigraph-navdata",AS,RU,,55.0333328,82.59917
URML,Uytash,"fs-base, navigraph-navdata",AS,RU,,42.8169441,47.6525
UUOB,Belgorod,"fs-base, navigraph-navdata",AS,RU,,50.64389,36.59
UUOO,Chertovitskoye,"fs-base, navigraph-navdata",AS,RU,,51.815,39.22972
KDAN,Danville Rgnl,"fs-base, navigraph-navdata",NA,US,VA,36.57247,-79.33625
FSDA,D'Arros Island Airport,ape42-airport-fsda-darros,AF,SC,D'Arros Island,-5.416805,53.2956467
FSDR,Desroches Island Airport,ape42-airport-fsdr-desroches,AF,SC,Desroches Island,-5.696633,53.65596
MHGS,Celaque Airport,celaque,NA,HN,Lempira,14.5770655,-88.5937347
VHHX,Hong Kong Old (Kai Tak),"ali501-kaitak, navigraph-navdata",AS,HK,Hong Kong,22.3169575,114.202614
LEA1,Anisclo,lea1-anisclo,EU,ES,,42.6043358,0.028077364
LEA2,Alins,lea2-alins,EU,ES,,42.4334373,0.6315677
LEB1,Bentue Airstrip,leb1-bentue,EU,ES,,42.3250237,-0.214192718
LEC1,Cajigar,lec1-cajigar,EU,ES,,42.30303,0.609182835
LEC4,Castillo Mayor Airstrip,lec4-castillomayor,EU,ES,,42.5747337,0.122125894
LEG1,Guara Airstrip,leg1-guara,EU,ES,,42.29646,-0.175383836
LEG2,Airstrip Gistain,leg2-gistain,EU,ES,,42.5752678,0.26659146
LEO2,Otin Airstrip,leo2-otin,EU,ES,,42.31524,-0.07659897
LES1,Selvaplana Airstrip,les1-selvaplana,EU,ES,,42.4487152,0.549414754
LES2,San Martin Airstrip,les2-sanmartin,EU,ES,,42.2320442,0.2810271
LET1,Turbon Airstrip,let1-turbon,EU,ES,,42.45867,0.4994926
LT1A,Turbon Refugio Airstrip,lt1a-turbonrefugio,EU,ES,,42.41623,0.49309507
RPSQ,Siquijor,"fs-base, nardz-airport-rpsq-siquijor",AS,PH,,9.210066,123.469612
RPUG,Lingayen Airport,"fs-base, turtletank1997-rpug",AS,PH,,16.0341244,120.239128
HTZA,Kisauni,"fs-base, navigraph-navdata",AF,TZ,,-6.22489166,39.225174
CYAV,St Andrews,"fs-base, navigraph-navdata",NA,CA,Manitoba,50.0562439,-97.03253
EBSG,Saint-Ghislain,"fs-base, navigraph-navdata",EU,BE,,50.4575,3.820278
KUKF,Wilkes Co,"fs-base, navigraph-navdata",NA,US,NC,36.2236023,-81.0986
TFFF,Le Lamentin,"fs-base, navigraph-navdata",NA,MQ,,14.5922222,-60.9963875
UNOO,Tsentralny,"fs-base, navigraph-navdata",AS,RU,,54.96722,73.31028
UWSG,Gagarin,navigraph-navdata,AS,RU,,51.7127762,46.1711121
USII,Izhevsk,"fs-base, navigraph-navdata",AS,RU,,56.8352776,53.4625
FSFA,Farquhar Island Airport,ape42-airport-fsfa-farquhar,AF,SC,Farquhar Island,-10.10987,51.1760674
XCAA3,Anglemont,airport-xcaa3-anglemont,NA,CA,British Columbia,50.96839,-119.166206
FSMA,Marie Louise Island Airport,ape42-airport-fsma-marielouise,AF,SC,Marie Louise Island,-6.177443,53.1454773
FSSR,Remire Island Airport,ape42-airport-fssr-remire,AF,SC,Remire Island,-5.117137,53.312252
KCZL,David,"fs-base, navigraph-navdata",NA,US,GA,34.4553871,-84.93916
EF0I,Ainola Hunting Estate,kuriiridesign-airport-ef0i-ainola,EU,FI,,66.52386,24.22315
EFET,Enontekio Airport,"fs-base, kuriiridesign-airport-efet-enontekio, navigraph-navdata",EU,FI,,68.36444,23.4275
EFKA,Kauhava Airfield,"fs-base, kuriiridesign-airport-efka-kauhava, navigraph-navdata",EU,FI,,63.12417,23.05139
EFKK,Kokkola-Pietarsaari,"fs-base, kuriiridesign-airport-efkk-kokkola-pietarsaari, navigraph-navdata",EU,FI,,63.7202759,23.1391678
EFKS,Kuusamo Airport,"fs-base, kuriiridesign-airport-efks-kuusamo, navigraph-navdata",EU,FI,,65.99028,29.231945
EFKT,Kittila Airport,"fs-base, kuriiridesign-airport-efkt-kittila, navigraph-navdata",EU,FI,,67.69861,24.8480549
EFRO,Rovaniemi,"fs-base, navigraph-navdata",EU,FI,,66.56167,25.8308334
EFSI,Seinajoki Airport,"fs-base, kuriiridesign-airport-efsi-seinajoki, navigraph-navdata",EU,FI,,62.69361,22.8319435
EFTP,Pirkkala Airport,"fs-base, kuriiridesign-airport-eftp-pirkkala, navigraph-navdata",EU,FI,,61.41528,23.5877781
EFVA,Vaasa Airport,"fs-base, kuriiridesign-airport-efva-vaasa, navigraph-navdata",EU,FI,Pohjanmaa,63.0452766,21.7641659
BGJN,Ilulissat,"fs-base, navigraph-navdata, tlc-bgjn",NA,GL,,69.24136,-51.06085
XCKA1,Monte Creek,airport-xcka1-montecreek,NA,CA,British Columbia,50.6489868,-119.89901
CJS5,Killarney,"fs-base, cjs5, navigraph-navdata",NA,CA,Manitoba,49.1516647,-99.69028
EBBY,Baisy-Thy Ulm,"fs-base, EBBY_MSFS2020",EU,BE,,50.5691681,4.43423843
EDCX,Purkshof,"fs-base, MV_EDCX_Purkshof, navigraph-navdata",EU,DE,Mecklenburg-Vorpommern,54.1608353,12.2485
17A,Trigger Gap Airstrip,"navigraph-navdata, nwaaviaator-trigger-gap-airstrip",NA,US,AR,36.32778,-93.6231155
ZMUL,Olgii Airport,"fs-base, navigraph-navdata, sdr-zmul",AS,MN,Mongolia,48.9864,89.93628
NTTB,Motu Mute,"fs-base, navigraph-navdata, sileo-airport-nttb-borabora",OC,PF,,-16.4434586,-151.752335
XCSH1,Seymour Arm,aiirport-xcsh1-seymourarm,NA,CA,British Columbia,51.23997,-118.949829
XCSH2,Shuswap Lake Estates,airport-xcsh2-shuswaplakeestates,NA,CA,British Columbia,50.869812,-119.375404
EPRG,Gotartowice,"fs-base, cmdesign-eprg, navigraph-navdata",EU,PL,,50.0705566,18.62889
RPSB,Bantayan Airport,"fs-base, kml921-airport-rpsb-bantayan",AS,PH,,11.1576986,123.787704
LFBZ,Biarrtiz Anglet Bayonne,"fs-base, lfbz-biarritz-anglet-bayonne, navigraph-navdata",EU,FR,,43.4683342,-1.53111124
LGZA,Dionisios Solomos,"fs-base, lgza-zakynthos, navigraph-navdata",EU,GR,Ionian Islands,37.75111,20.8841667
SBJH,São Paulo Catarina Executive Airport,"navigraph-navdata, sbjh-airport",SA,BR,,-23.4270287,-47.1680031
NTAR,Rurutu Airport,"fs-base, navigraph-navdata, sileo-airport-ntar-rurutu",OC,PF,,-22.43157,-151.367279
F1727,Nantille,wmscene-airport-lf1727-nantille,EU,FR,France,45.84555,-0.478377342
XX15,Alpes Aventure Lachat,alpeaven-airport-xx13-16-lessieres,EU,FR,,45.5099525,6.41882038
XX16,Alpes Aventure,alpeaven-airport-xx13-16-lessieres,EU,FR,,45.6311035,5.966214
XX13,Alpes Aventure 13,alpeaven-airport-xx13-16-lessieres,EU,FR,,45.4171,7.030348
XX14,Alpes Aventure 14,alpeaven-airport-xx13-16-lessieres,EU,FR,,45.438015,6.764009
FYOG,Oranjemund,"fs-base, navigraph-navdata, vt-airport-fyog",AF,NA,,-28.5847969,16.4463615
